,#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
390,384,Venus,$4.50,-6.35%,$10.1 M,$54.25 M
391,385,Vai,$0.9424,-1.06%,"$24,486",$54.19 M
392,386,ONUS,$0.5525,-0.94%,"$96,668",$53.99 M
393,387,Aleph.im,$0.2601,-0.55%,"$662,761",$53.79 M
394,388,Splintershards,$0.07721,-8.24%,$1.55 M,$53.68 M
395,389,H2O Dao,$0.8012,+0.81%,$1.83 M,$53.41 M
396,390,API3,$1.46,-8.83%,$5.7 M,$52.9 M
397,391,Beta Finance,$0.1161,-12.83%,$14.29 M,$52.71 M
398,392,Proton,$0.004238,-5.34%,$2.66 M,$52.66 M
399,393,Hifi Finance,$0.005257,-9.25%,$25.79 M,$52.57 M
400,394,Polkastarter,$0.5659,-7.26%,$4.58 M,$52.39 M
401,395,Mango,$0.05228,-7.07%,"$431,238",$52.28 M
402,396,SafeMoon,$0.00000009271,-91.00%,"$50,960",$52.13 M
403,397,Cocos-BCX,$0.7752,-8.73%,$15.81 M,$51.83 M
404,398,DeversiFi,$2.14,+0.49%,"$45,798",$51.62 M
405,399,Green Satoshi Token,$0.6054,-9.03%,$21.12 M,$51.5 M
406,400,STAKE,$6.09,-5.30%,"$5,302",$51.46 M
407,401,DeFi Pulse Index,$91.18,-8.82%,"$316,096",$50.97 M
408,402,TomoChain,$0.5608,-9.46%,$8.26 M,$50.95 M
409,403,Ampleforth Governance Token,$3.36,-4.64%,$3.13 M,$50.79 M
410,404,Deeper Network,$0.0399,-3.18%,$1.41 M,$49.82 M
411,405,Qcash,$0.1079,-3.89%,$185.52 M,$49.62 M
412,406,Ribbon Finance,$0.3029,-0.73%,$2.08 M,$49.11 M
413,407,ICHI,$9.94,-1.06%,"$369,031",$48.97 M
414,408,ankrETH,"$1,664.36",-8.49%,"$127,027",$48.82 M
415,409,AIOZ Network,$0.08355,-8.86%,"$503,995",$48.46 M
416,410,Orion Protocol,$1.45,-3.19%,$3.47 M,$48.43 M
417,411,Carry,$0.005494,-7.37%,$4.1 M,$48.3 M
418,412,LCX,$0.06362,-5.50%,"$949,880",$48.19 M
419,413,Mask Network,$1.67,-8.34%,$36.89 M,$48.05 M
420,414,Balancer,$6.97,-11.24%,$24.41 M,$47.7 M
421,415,Merit Circle,$1.13,-10.87%,$37.17 M,$47.22 M
422,416,TrueFi,$0.08613,-6.84%,$4.85 M,$46.65 M
423,417,IDEX,$0.07067,-5.08%,$12.42 M,$46.43 M
424,418,Shiba Predator,$0.00000007674,-10.23%,$3.19 M,$46.04 M
425,419,Dvision Network,$0.1289,-7.02%,$1.66 M,$45.99 M
426,420,Chimpion,$1.45,-7.53%,"$142,821",$45.93 M
427,421,Velo,$0.03702,+19.58%,$7.28 M,$45.54 M
428,422,Beefy Finance,$630.63,-11.80%,$4.28 M,$45.54 M
429,423,Genopets,$11.91,-3.30%,$2.25 M,$45.33 M
430,424,Moss Coin,$0.1234,-7.07%,$2.89 M,$45.32 M
431,425,Shapeshift FOX Token,$0.1191,-4.43%,$1.15 M,$44.94 M
432,426,Syntropy,$0.07858,-9.78%,"$241,549",$44.31 M
433,427,CONUN,$0.01526,-4.22%,"$883,625",$44.23 M
434,428,Alpha Quark Token,$1.70,-7.51%,$5.41 M,$44.14 M
435,429,Nestree,$0.01716,-4.51%,"$700,248",$43.82 M
436,430,Bella Protocol,$0.912,-14.53%,$145.66 M,$43.77 M
437,431,UFO Gaming,$0.000001698,-10.65%,$1.83 M,$43.73 M
438,432,Alitas,$0.7234,-5.73%,"$129,868",$43.4 M
439,433,Alpaca Finance,$0.3063,-3.23%,$6.62 M,$43.37 M
440,434,Sovryn,$1.97,-5.74%,"$389,769",$43.33 M
441,435,Starlink,$0.000004327,-9.03%,$3.42 M,$43.18 M
442,436,FLETA,$0.02155,-0.00%,N/A,$43.09 M
443,437,Unibright,$0.2846,-7.85%,"$276,800",$42.69 M
444,438,AXEL,$0.1503,-8.01%,"$71,811",$42.54 M
445,439,Bloktopia,$0.005094,-11.69%,$8.63 M,$42.48 M
446,440,YooShi,$0.0000001131,-9.02%,"$267,041",$42.33 M
447,441,XeniosCoin,$0.5548,-0.00%,"$6,336",$42.32 M
448,442,PlatON,$0.01527,-2.15%,$5.74 M,$42.2 M
449,443,ARPA Chain,$0.03447,-6.03%,$8.71 M,$42.12 M
450,444,RMRK,$4.43,-5.67%,$2.51 M,$42.1 M
451,445,Hathor,$0.1808,-8.20%,$1.81 M,$41.93 M
452,446,BitMart Token,$0.2412,+0.19%,$2.38 M,$41.9 M
453,447,OpenDAO,$0.0000004173,-8.62%,$6.02 M,$41.73 M
454,448,SafePal,$0.3894,-6.34%,$26.82 M,$41.7 M
455,449,GXChain,$0.5537,-7.20%,"$35,327",$41.53 M
456,450,Presearch,$0.1038,-7.98%,"$129,669",$41.15 M
457,451,mStable USD,$0.9986,-0.17%,"$61,748",$41.03 M
458,452,Steem Dollars,$3.59,-17.49%,$37.56 M,$40.79 M
459,453,MiL.k,$0.5204,-5.25%,$7.98 M,$40.68 M
460,454,Energi,$0.7645,-4.24%,"$280,359",$40.63 M
461,455,REI Network,$0.04252,-4.41%,$4.75 M,$40.39 M
462,456,Wanchain,$0.2082,-6.30%,$1.14 M,$40.13 M
463,457,GMT Token,$0.1518,-1.65%,"$743,286",$40.01 M
464,458,Marlin,$0.01022,-8.08%,$6.71 M,$39.93 M
465,459,PolySwarm,$0.02558,-0.04%,$1.32 M,$39.56 M
466,460,Qredo,$0.5562,-2.90%,$5.58 M,$39.2 M
467,461,Sperax,$0.03414,-3.69%,"$469,652",$39.13 M
468,462,Sentinel Protocol,$0.0844,-7.46%,$3.14 M,$38.81 M
469,463,Cobak Token,$1.27,-7.13%,$2.65 M,$38.73 M
470,464,Akash Network,$0.3521,-12.30%,$1.88 M,$38.69 M
471,465,CONTRACOIN,$0.8088,-7.12%,"$80,920",$38.68 M
472,466,Super Zero Protocol,$0.1078,-0.81%,"$681,047",$38.5 M
473,467,MonaCoin,$0.585,-5.29%,"$74,109",$38.45 M
474,468,VerusCoin,$0.5588,-5.79%,"$48,761",$38.4 M
475,469,FirmaChain,$0.0836,-6.70%,$2.58 M,$38.37 M
476,470,Victoria VR,$0.05129,-0.85%,$15.79 M,$38.18 M
477,471,Alchemix,$29.61,-6.02%,$5.7 M,$38.12 M
478,472,Bitcoin Diamond,$0.203,-6.96%,"$498,768",$37.87 M
479,473,Refereum,$0.007572,-6.30%,$2.73 M,$37.85 M
480,474,TROY,$0.004247,-6.09%,$5.23 M,$37.83 M
481,475,Toko Token,$0.3476,-10.69%,$16.89 M,$37.71 M
482,476,Elastos,$1.83,-8.22%,"$269,238",$37.24 M
483,477,Gitcoin,$2.66,-10.41%,$7.54 M,$37.17 M
484,478,CoinLoan,$19.01,-5.61%,"$73,547",$37.07 M
485,479,RIZON,$0.02122,-1.29%,"$229,620",$36.93 M
486,480,Groestlcoin,$0.4594,-6.09%,$8.07 M,$36.85 M
487,481,Alpine F1 Team Fan Token,$3.18,-2.76%,$10.83 M,$36.17 M
488,482,Travala.com,$0.7028,-2.97%,$7.95 M,$36.03 M
489,483,TrustSwap,$0.3673,-6.37%,"$543,045",$35.84 M
490,484,BitShares,$0.01188,-7.02%,$2.12 M,$35.56 M
491,485,Bluzelle,$0.1098,-0.09%,$16.76 M,$35.25 M
492,486,Elitium,$1.24,-2.61%,"$230,061",$34.66 M
493,487,LTO Network,$0.08803,-6.73%,$4.16 M,$34.57 M
494,488,Alethea Artificial Liquid Intelligence Token,$0.03315,-18.57%,$2.11 M,$34.42 M
495,489,Linear,$0.00936,-8.14%,$27.19 M,$34.29 M
496,490,Hydra,$3.97,-0.31%,"$205,320",$34.19 M
497,491,Phala Network,$0.1238,-4.61%,$3.15 M,$33.66 M
498,492,DAD,$0.0697,+5.30%,$11.24 M,$33.66 M
499,493,Seedify.fund,$1.37,-9.23%,$2.4 M,$33.63 M
