#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
408,DeversiFi,$2.02,-1.69%,"$164,780",$48.73 M
409,ICHI,$10.20,-4.31%,"$429,558",$48.33 M
410,DeFi Pulse Index,$85.72,-7.73%,"$612,776",$47.92 M
411,Chimpion,$1.49,-2.68%,"$136,803",$47.15 M
412,CONUN,$0.01616,-1.60%,$3.98 M,$46.84 M
413,Hifi Finance,$0.00465,-10.00%,$19.18 M,$46.5 M
414,ankrETH,"$1,584.24",-7.52%,$20,$46.47 M
415,Genopets,$12.16,-7.41%,$4.06 M,$46.39 M
416,Ribbon Finance,$0.2846,-2.42%,$1.5 M,$46.14 M
417,TrueFi,$0.0848,-6.28%,$4.91 M,$46.03 M
418,AXEL,$0.1601,-2.17%,"$51,607",$45.32 M
419,Nestree,$0.01773,+2.69%,$1.86 M,$45.27 M
420,Gitcoin,$3.25,+1.46%,$22.6 M,$45.1 M
421,Carry,$0.005061,-8.81%,$3.12 M,$44.49 M
422,AIOZ Network,$0.07669,-8.19%,"$572,049",$44.48 M
423,Marlin,$0.01135,+1.15%,$9.15 M,$44.35 M
424,Alpaca Finance,$0.3128,-6.02%,$7.94 M,$44.29 M
425,ARPA Chain,$0.03613,-11.04%,$29.25 M,$44.08 M
426,Merit Circle,$1.05,-8.93%,$3.27 M,$43.98 M
427,FLETA,$0.02154,-0.02%,N/A,$43.08 M
428,CUDOS,$0.01497,-7.87%,$1.27 M,$42.57 M
429,Sperax,$0.03515,-0.49%,"$284,820",$42.49 M
430,XeniosCoin,$0.5547,+0.01%,"$6,183",$42.31 M
431,YooShi,$0.0000001129,-3.15%,"$292,859",$42.22 M
432,Presearch,$0.1064,-3.36%,"$179,205",$42.21 M
433,Alitas,$0.7035,-2.61%,"$148,376",$42.21 M
434,Beefy Finance,$590.24,-6.32%,$1.57 M,$41.91 M
435,Wanchain,$0.2164,-0.58%,$1.28 M,$41.71 M
436,Syntropy,$0.07387,-5.86%,"$216,248",$41.66 M
437,CONTRACOIN,$0.8751,-3.47%,"$74,078",$41.64 M
438,SafePal,$0.3899,-6.26%,$13.02 M,$41.55 M
439,Starlink,$0.000004155,-6.88%,$3.52 M,$41.47 M
440,GXChain,$0.5517,-1.39%,"$19,725",$41.37 M
441,Alpha Quark Token,$1.58,-6.91%,$3.67 M,$41.21 M
442,Hathor,$0.1773,-10.85%,$1.52 M,$41.15 M
443,mStable USD,$0.9987,-0.08%,"$34,126",$41.03 M
444,Shapeshift FOX Token,$0.1086,-7.17%,"$434,714",$40.94 M
445,Green Satoshi Token,$0.3864,-24.07%,$25.95 M,$40.7 M
446,Velo,$0.03306,-4.21%,"$549,981",$40.66 M
447,Dvision Network,$0.1136,-9.20%,$1.02 M,$40.53 M
448,Linear,$0.01099,-4.85%,$34.94 M,$40.6 M
449,Shiba Predator,$0.00000006732,-18.55%,$3.18 M,$40.39 M
450,Energi,$0.7505,-1.52%,"$240,092",$39.97 M
451,PlatON,$0.01449,-12.43%,$2.6 M,$40.1 M
452,Unibright,$0.2625,-15.32%,"$239,427",$39.37 M
453,Moss Coin,$0.1085,-10.91%,$3.06 M,$39.86 M
454,MiL.k,$0.5015,-7.46%,$5.55 M,$39.19 M
454,REI Network,$0.0412,-3.26%,$3.07 M,$39.14 M
456,Akash Network,$0.3583,-1.78%,"$616,994",$39.11 M
457,CoinLoan,$19.95,-1.13%,"$516,191",$38.91 M
458,Elastos,$1.90,-9.15%,"$292,761",$38.76 M
459,RMRK,$4.07,-7.85%,$1.34 M,$38.7 M
460,LTO Network,$0.09776,-10.55%,$7.19 M,$38.39 M
461,TROY,$0.004308,-2.96%,$5.47 M,$38.37 M
462,VerusCoin,$0.5568,-7.72%,"$31,810",$38.29 M
463,Qredo,$0.5274,-3.68%,$5.98 M,$38.21 M
464,Victoria VR,$0.05122,-6.77%,$12.49 M,$38.12 M
465,BitMart Token,$0.2195,-2.94%,$2.59 M,$38.13 M
466,OpenDAO,$0.0000003809,-10.20%,$5.17 M,$38.09 M
467,GMT Token,$0.1442,-7.42%,$1.69 M,$38 M
468,MonaCoin,$0.5739,-3.18%,"$91,190",$37.72 M
469,Super Zero Protocol,$0.1042,-6.87%,"$516,929",$37.23 M
470,BitShares,$0.01244,-6.11%,$2.27 M,$37.25 M
471,Toko Token,$0.3397,-5.53%,$6.59 M,$36.85 M
472,Alchemix,$28.12,-6.70%,$3.14 M,$36.82 M
473,DIA,$0.5093,-2.85%,$26.31 M,$36.69 M
474,Bloktopia,$0.004397,-6.51%,$9.53 M,$36.67 M
475,RIZON,$0.02088,-16.70%,$2.22 M,$36.4 M
476,Steem Dollars,$3.17,-9.00%,$10.89 M,$36.11 M
477,Flamingo,$0.1153,-3.84%,$13.87 M,$36 M
478,Cobak Token,$1.18,-8.21%,$1.72 M,$35.86 M
479,UFO Gaming,$0.000001389,-10.48%,$1.61 M,$35.77 M
480,Refereum,$0.007118,-5.90%,$2.51 M,$35.58 M
481,Sentinel Protocol,$0.07614,-8.06%,$1.53 M,$35.01 M
482,Travala.com,$0.6785,-5.00%,$4.51 M,$34.79 M
483,Hydra,$4.00,-1.19%,"$146,330",$34.45 M
484,FirmaChain,$0.0733,-9.74%,$2.29 M,$34.42 M
485,Bitcoin Diamond,$0.1839,-7.83%,"$212,395",$34.3 M
486,PolySwarm,$0.02202,-7.73%,"$616,024",$34.05 M
487,Alpine F1 Team Fan Token,$2.97,-6.19%,$5.69 M,$33.77 M
488,Groestlcoin,$0.419,-7.91%,$2.94 M,$33.61 M
489,Unifi Protocol DAO,$7.73,-7.71%,$151.75 M,$33.6 M
490,Sovryn,$1.70,-2.81%,"$254,436",$33.4 M
491,Clover Finance,$0.1263,-8.32%,$18.15 M,$32.96 M
492,TrustSwap,$0.3367,-4.12%,"$652,506",$32.85 M
493,Seedify.fund,$1.34,-2.54%,$2.34 M,$32.78 M
